Hosting Institution;Name;Type;Subject area;Open Access;API;Publication Cost;Dataset size limit;URL;Comment
FID Move;Fachinformationsdienst Mobilitäts- und Verkehrsforschung;Bibliography/Repository;Transportation;;;;;https://fid-move.de;Search interface to various sources relevant to the field of mobility and traffic research, a research data repository is currently being set up
FID Material Science;Fachinformationsdienst Materialwissenschaft und Werkstofftechnik;Catalogue;Materials Science;;;;;https://www.materials-science.info;Integrated interface to MaterialHub and TIB search portal, service is currently being set up
NFDI4Ing/TIB;NFDI4Ing Terminology Service;Ontology;Interdisciplinary;;yes;n/a;n/a;https://terminology.nfdi4ing.de;"Repository for engineering ontologies; provides API for integration in applications"
Eric Meier;The Wood Database;Catalogue;Materials Science;yes;;n/a;n/a;https://www.wood-database.com;Privately curated online database of various wood species and their characteristics, usage, etc.
SLUB;Material Hub;Repository;Materials Science;yes;;free;;https://www.materialhub.de;Materials research repository with partners from science and industry
FAIR DI e.V.;NOMAD Novel Materials Discovery;Encyclopedia/Repository/Archive;Materials Science;yes;yes;free;32GB;https://nomad-lab.eu;Provides a repository, archive and encyclopedia of novel materials, as well as an AI toolkit to facilitate research on novel materials
NIST;Database of Novel and Emerging Adsorbent Materials;Catalogue;Materials Science;;yes;n/a;n/a;https://adsorption.nist.gov/isodb/index.php;"Database of adsorption characteristics of novel and emerging materials; includes isotherm visualisation"
RSC;ChemSpider;Repository;Chemistry;yes;yes;;;https://www.chemspider.com;"Chemical structure database; access by API requires an account with RSC"
Open Reaction Databse Project;Open Reaction Database;Community repository;Chemistry;yes;;free;n/a;https://open-reaction-database.org;"Chemical reaction database of single-step organic reactions; still in development (12/2021)"
Organic Syntheses, Inc.;Organic Syntheses;Catalogue;Chemistry;yes;;n/a;n/a;http://www.orgsyn.org;Catalogue of reliable preparations of organic compounds
NIH National Library of Medicine;PubChem;Repository;Chemistry;yes;yes;free;n/a;https://pubchem.ncbi.nlm.nih.gov;The database collects information on chemical structures, physical and chemical properties, toxicity, etc.
Vilnius University;Crystallography Open Database;Repository;Crystallography;yes;yes;;;https://www.crystallography.net/cod;Open Access database of crystal structures
Geoforschungszentrum Potsdam;GFZ Data Services;Repository;Earth and environmental science;yes;;;;https://dataservices.gfz-potsdam.de;Research data repository for the earth and environmental sciences, accepts research data as well as scientific software
AWI/MARUM;PANGAEA;Repository;Earth and environmental science;yes;yes;free, but a donation of 500€ is welcome;;https://www.pangaea.de;Open Access library aimed at archiving, publishing and distributing georeferenced data from earth system research
Bundesamt für Wasserbau;HENRY Hydraulic Engineering Repository;Repository;Hydraulic Engineering;yes;;free;;https://henry.baw.de;Repository for academic publications from the field of hydraulic engineering
Open Engineering;engrXiv;Repository;Engineering;yes;;free;;https://engrxiv.org;Eprint server for engineering
Cranfield University;AERADE Reports Archive;Archive;Aeronautics;yes;;n/a;n/a;https://reports.aerade.cranfield.ac.uk;Archive of historically significant reports from the Aeronautical Research Council and the National Advisory Commitee for Aeronautics
Schloss Dagstuhl – Leibniz-Zentrum für Informatik;dblp computer science bibliography;Bibliography;Computer Science;yes;yes;n/a;n/a;https://dblp.org;Open bibliographic information focused on computer science journals and proceedings
FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur;zbMATH Open;Bibliography;Mathematics;yes;yes;n/a;n/a;https://zbmath.org;Comprehensive abstracting and reviewing service in pure and applied mathematics, also covers applications in the natural sciences, computer science, economics and engineering
FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur;swMATH;Database;Mathematics;yes;;n/a;n/a;https://swmath.org;Open access database about mathematical software
U.S. Department of Energy Office of Scientific and Technical Information;DOE CODE;Institutional repository;Software;;yes;;;https://www.osti.gov/doecode;DOE CODE provides functionality for collaboration, archiving, and discovery of scientific and business software
NIST/CHIMaD;PFHub;Community repository;Materials Science;yes;;;;https://pages.nist.gov/pfhub;Collection of benchmark problems to test, validate and verify phase field codes
Dryad;Dryad Digital Repository;Repository;Interdisciplinary;yes;yes;120$;300GB;https://datadryad.org;Dryad is a curated general-purpose repository for research data, with a focus on biology, software submissions are published on Zenodo
Digital Science;figshare;Repository;Interdisciplinary;yes;yes;free;20GB;https://figshare.com;General-purpose repository open to all fields of science
CERN;Zenodo;Repository;Interdisciplinary;yes;yes;donations encouraged;50GB;https://zenodo.org;An open access repository for all fields of science
SciELO Scientific Electronic Library Online;SciELO;Bibliography/Digital library;Interdisciplinary;yes;;free;;https://www.scielo.org;Bibliographic database, digital library, and electronic publishing of open access journals from Latin America, the Iberian Peninsula and South Africa
SciELO Scientific Electronic Library Online;SciELO Data;Repository;Interdisciplinary;yes;;free;2GB;https://data.scielo.org;Multidisciplinary repository for deposition of research data published on SciELO
Centre pour la Communication Scientifique Directe;HAL science ouverte;Repository;Interdisciplinary;yes;yes;;200MB;https://hal.archives-ouvertes.fr;Open access repository open to all academic fields, provides access to other repositories of french universities and research centers
